rOperationCode,rDocNumber,Invoice_No,Tax_BASE,Tax_CPFM,Tax_difference,Total_Amt_BASE,Total_Amt_CPFM,Total_Amt_difference
110403,40345066000845,5090232767,54.72,54.72,0.0,836.44,836.42,0.02
111391,139145066002274,5090233270,305.91,305.91,0.0,4676.07,4676.01,0.06
